typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","45366","false",,"false",,"446087","446087","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1548","false","-1","N/A",,"false","841374","false",,"false",,"10836000","10836000","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","563884","false","-1","N/A",,"false","563884","false",,"false",,"1256544","1256544","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27444","false","-1","N/A",,"false","27444","false",,"false",,"559859","559859","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","457","false","-1","N/A",,"false","457","false",,"false",,"49419","49419","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1350500","false","-1","N/A",,"false","1350500","false",,"false",,"27796583","27796583","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35686","false","-1","N/A",,"false","35686","false",,"false",,"175480","175480","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","307475.54","false","8","kg","307475.54","false","307475.54","false","0","false","0","8448118.433","8448118.433","0","true","false",
"C","A","20130101","2013","52","2013","70","BIH","Bosnia Herzegovina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1775","false","-1","N/A",,"false","1775","false",,"false",,"3418","3418","0","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","564.015","true","5","u","1018","false","564.015","true","0","false",,"32314","32314","6","false","true",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","815232","false","-1","N/A",,"false","815232","false",,"false",,"15656328","15656328","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","848180","Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4845718","false","-1","N/A",,"false","4845718","false",,"false",,"46040400","46040400","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","692","false","-1","N/A",,"false","692","false",,"false",,"52534","52534","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","442","false","-1","N/A",,"false","442","false",,"false",,"41993","41993","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","275200","false","-1","N/A",,"false","275200","false",,"false",,"23516979","23516979","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","265","false","-1","N/A",,"false","265","false",,"false",,"5955","5955","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30755.32","false","8","kg","30755.32","false","30755.32","false","0","false","0","5379465.203","5379465.203","0","true","false",
"C","A","20130101","2013","52","2013","70","BIH","Bosnia Herzegovina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2300","false","-1","N/A",,"false","2300","false",,"false",,"5124","5124","0","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","920.587","true","8","kg","920","false","920.587","true","0","false",,"24224","24224","6","false","true",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","161607","true","-1","N/A",,"false","161607","true",,"false",,"11683631","11683631","6","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","853710","Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1389918","false","-1","N/A",,"false","1389918","false",,"false",,"25627200","25627200","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7","false","-1","N/A",,"false","11355","false",,"false",,"53132","53132","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2844","true","-1","N/A",,"false","2918100","false",,"false",,"46464814","46464814","2","true","false",
"C","A","20130101","2013","52","2013","48","BHR","Bahrain","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","1680","false",,"false",,"12556","12556","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1780","false","5","u","1780","false","2939487.2","false","0","false","0","43956171.427","43956171.427","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13","false","-1","N/A",,"false","18896","false",,"false",,"65823","65823","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870323","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1500cc but not exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","312","false","-1","N/A",,"false","506649","false",,"false",,"5403700","5403700","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870324","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","-1","N/A",,"false","15520","false",,"false",,"74696","74696","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870324","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1204","true","-1","N/A",,"false","1352500","false",,"false",,"49559600","49559600","2","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870324","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false","23780","false","0","false","0","1772600.655","1772600.655","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870324","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","-1","N/A",,"false","4140","false",,"false",,"41645","41645","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870324","Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 3000cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","54","false","-1","N/A",,"false","127774","false",,"false",,"3250600","3250600","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","870332","Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity exceeding 1500cc but not exceeding 2500cc","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","2320","false",,"false",,"28954","28954","0","true","false",
