typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","123143672.77","false","8","kg","123143672.77","false","123143672.77","false","0","false","0","150579535.645","150579535.645","0","true","false",
"C","A","20130101","2013","52","2013","70","BIH","Bosnia Herzegovina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4279","false","-1","N/A",,"false","4279","false",,"false",,"8685","8685","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15409606","false","-1","N/A",,"false","15409606","false",,"false",,"16449362","16449362","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","311755532","false","-1","N/A",,"false","311755532","false",,"false",,"225832300","225832300","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271020","Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","81","false","8","kg","81","false","81","false","0","false",,"484.718","484.718","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271020","Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9516506","false","8","kg","9516506","false","9516506","false","0","false","0","9226745.778","9226745.778","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271020","Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","-1","N/A",,"false","20000","false",,"false",,"3100","3100","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271099","Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","629","false","-1","N/A",,"false","629","false",,"false",,"60","60","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271099","Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2768","false","8","kg","2768","false","2768","false","0","false","0","6302.303","6302.303","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271099","Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1112766","false","-1","N/A",,"false","1112766","false",,"false",,"153000","153000","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271210","Petroleum jelly","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2084","false","8","kg","2084","false","2084","false","0","false","0","6982.961","6982.961","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271210","Petroleum jelly","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","174885","false","-1","N/A",,"false","174885","false",,"false",,"206600","206600","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271220","Paraffin wax; containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","19305","false","8","kg","19305","false","19305","false","0","false",,"79358.295","79358.295","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271220","Paraffin wax; containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9.776","true","-1","N/A","0","false","9.776","true","0","false","0","32.065","32.065","6","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271220","Paraffin wax; containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1113","false","-1","N/A",,"false","1113","false",,"false",,"2700","2700","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271290","Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2120","false","8","kg","2120","false","2120","false","0","false",,"10125.958","10125.958","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271290","Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","284","false","8","kg","284","false","284","false","0","false","0","3126.548","3126.548","0","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271290","Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39","false","8","kg","39","false","39","false","0","false",,"985","985","0","false","true",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271290","Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","109005","false","-1","N/A",,"false","109005","false",,"false",,"117800","117800","0","true","false",
